title,ingredients
Cranberry Spice Cake,"['Nonstick vegetable oil spray', '1/2 cups all-purpose flour', 'ground cinnamon', 'kosher salt', 'ground cardamom', 'baking powder', 'baking soda', '(8 ounces) fresh (or frozen, thawed) cranberries', 'sugar', '(packed) dark brown sugar', 'grapeseed oil or other neutral vegetable oil', 'eggs', 'sour cream', 'freshly grated orange zest', 'freshly grated lemon zest', 'vanilla extract', 'apple cider', 'powdered sugar', 'freshly grated lemon zest', 'strained fresh lemon juice', 'kosher salt', 'citrus-cranberry compote ; optional)', 'Special equipment: An 8""-square cake pan']"
Cranberry Walnut Upside Down Cake,"['(1/4 cup) unsalted butter', 'packed light brown sugar', '3/4 cups fresh or frozen cranberries (7 ounces; do not thaw if frozen)', 'coarsely chopped walnuts (3 ounces), toasted', '1/2 cups all-purpose flour', '1/2 teaspoons baking powder', 'baking soda', 'salt', '(1/2 cup) unsalted butter, softened', 'granulated sugar', 'eggs', 'vanilla', 'well-shaken buttermilk', 'Special equipment: a well-seasoned 10-inch cast-iron skillet', 'Accompaniment: lightly sweetened whipped cream']"
Cream Cheese Pound Cake,"['(2 sticks) unsalted butter, room temperature', '8-ounce package cream cheese, room temperature', 'sugar', 'salt', 'eggs, room temperature', 'vanilla extract', 'sifted all purpose flour']"
Cream Cheese Turtle Cake,"['sliced almonds, lightly toasted', 'chopped pecans, lightly toasted', '18.25-ounce box German chocolate cake mix', '1/4 cups water', 'vegetable oil', 'eggs', '(1 stick) unsalted butter, room temperature', '1/2 cups powdered sugar', '8-ounce package cream cheese, cut into pieces, room temperature', '3/4 cups powdered sugar', 'unsweetened cocoa powder', 'whole milk', '(1/2 stick) unsalted butter', 'semisweet chocolate chips', 'vanilla extract', 'purchased caramel-flavored topping or dulce de leche topping']"
Crispy Noodle Cake with Shrimp and Snow Peas,"['fresh or dried thin Asian egg noodles* or capellini', 'vegetable oil', 'Asian (toasted) sesame oil', 'two 1/8-inch-thick slices of fresh gingerroot, flattened with the flat side of a heavy knife', '1/2 tablespoons Scotch', 'cornstarch', 'medium shrimp (about 25), peeled, deveined, rinsed, and squeezed dry gently in a kitchen towel', 'Chinese black mushrooms* or dried shiitake mushrooms*, soaked in 1 1/2 cups hot water for 20 minutes', '1/2 tablespoons cornstarch', 'chicken broth', 'soy sauce', 'Scotch', 'sugar', 'Asian (toasted) sesame oil', 'vegetable oil', 'minced scallion', '1/2 tablespoons minced peeled fresh gingerroot', 'snow peas, each trimmed and cut diagonally into 3 pieces', '*available at some Asian markets']"
Crispy Potato Cake with Garlic and Parsley,"['unsalted butter, divided, plus more for pan', 'cloves, thinly sliced', 'small Yukon Gold potatoes, peeled, sliced 1/4"" thick', 'Kosher salt, freshly ground pepper', 'duck fat or unsalted butter', 'fresh flat-leaf parsley leaves', 'Special equipment: An 8""-diameter cake pan']"
Danish Apple Cake,"['(2 pounds) Granny Smith apples', '(3 ounces) butter', 'sugar to taste', '(4 ounces) fresh breadcrumbs', 'sugar', '(4 fluid ounces) cream, whipped', 'red currant jelly (or jam)']"
Dark Chocolate Brown Sugar Pound Cake with Chocolate Glaze,"['1/4 cups cake flour', 'unsweetened Dutch-process cocoa', 'salt', 'baking soda', 'sour cream (8 1/2 ounces)', '1/4 sticks (1 cup plus 2 tablespoons) unsalted butter, softened', '1/2 cups granulated sugar', '1/2 cups packed dark brown sugar', 'chocolate extract* (optional)', 'vanilla extract', 'eggs', 'fine-quality bittersweet chocolate (not unsweetened)', 'unsalted butter', 'Accompaniments:brown sugar sour cream', 'strawberries', '*available by mail order']"
Dark Chocolate-Caramel Cake with Gold-Dusted Chestnuts,"['high-quality milk chocolate (such as Lindt or Perugina)', 'bittersweet (not unsweetened) or semisweet chocolate, finely chopped', 'sugar', 'water', 'stick', 'plus 2 tablespoons heavy whipping cream', 'salt', 'plus 2 tablespoons (21/4 sticks) unsalted butter, room temperature', 'cake flour', 'baking powder', 'salt', '(2 sticks) unsalted butter, room temperature', '1/4 cups (packed) golden brown sugar, divided', 'eggs, separated', 'vanilla extract', 'sweetened chestnut spread** with vanilla', 'whole milk', 'brandy', 'golden brown sugar', 'peeled whole chestnuts**; 12 coarsely chopped, 12 left whole (about 7.25 ounces)', 'heavy whipping cream', 'sugar', 'water', 'bittersweet or semisweet chocolate, chopped', 'Edible gold dust***']"
Dark Chocolate Pretzel Cake,"['(1 stick) unsalted butter, chopped', 'dark chocolate, chopped', ', separated', 'superfine sugar', 'sea salt', 'mini pretzels']"
Dark Chocolate Walnut Layer Cake,"['unsweetened chocolate, chopped', 'all purpose flour', 'baking soda', '(1 stick) unsalted butter, room temperature', 'packed golden brown sugar', 'sugar', 'eggs', 'vanilla extract', 'buttermilk', 'chopped walnuts', 'unsweetened chocolate, chopped', '(1 stick) unsalted butter, room temperature', 'powdered sugar', '(about) hot milk', 'chopped walnuts']"
Dark Chocolate Wedding Cake with Chocolate Orange Ganache and Orange Buttercream,"['unsweetened cocoa powder (not Dutch-process)', 'boiling water', 'fine-quality bittersweet chocolate (not unsweetened), chopped', 'one 8-ounce container sour cream', 'plus 1 teaspoon vanilla extract', 'all-purpose flour', '1/2 teaspoons baking soda', 'salt', '3/4 sticks (1 3/4 cups plus 2 tablespoons) unsalted butter, softened', '3/4 cups granulated sugar', 'firmly packed light brown sugar', 'eggs', 'heavy cream', 'fine-quality bittersweet chocolate (not unsweetened), chopped', 'unsalted butter, softened', 'freshly grated orange zest', 'Cointreau or other orange-flavored liqueur', 'one 8-inch cardboard round*', 'one 6-inch cardboard round*', 'three 8-inch plastic straws', 'egg yolks', 'sugar', 'fresh orange juice', '(1/4 cup) unsalted butter, softened', '1/2 teaspoons fresh lemon juice', '1/4 cups sugar', 'water', 'egg whites', 'cream of tartar', '1/2 sticks (3 1/4 cups) unsalted butter, cut into pieces and softened to cool room temperature', 'salt', 'freshly grated orange zest', 'Note: A cake-decorating turntable* is extremely helpful for assembling and decorating a wedding cake.', 'Decoration: fraises des bois (wild strawberries)** and small roses with some leaves attached (both fruit and flowers must be nontoxic and pesticide-free)', '*available at specialty cookware shops']"
Dark Ginger Rye Cake With Yogurt and Honey,"['Nonstick vegetable oil spray', 'robust-flavored (dark) molasses (not blackstrap)', 'stout', 'baking soda', '1/2 cups rye flour', 'all-purpose flour', 'ground ginger', 'ground cinnamon', 'freshly grated nutmeg', 'freshly ground black pepper', '1/2 teaspoons baking powder', 'kosher salt', 'eggs', 'granulated sugar', '(packed) dark brown sugar', 'finely grated peeled ginger', 'vanilla extract', 'virgin coconut oil, melted, slightly cooled', 'vegetable oil', 'honey', 'plain whole-milk yogurt', 'A 10-inch-diameter springform pan']"
Darkest Chocolate Cake With Red Wine Glaze,"['(2 sticks) unsalted butter, cut into pieces, plus more for pan', 'all-purpose flour, plus more for pan', 'bittersweet chocolate (at least 70% cacao), chopped', 'sugar', 'eggs', 'kosher salt', 'bittersweet chocolate (at least 70% cacao), finely chopped', '(1/2 stick) unsalted butter, cut into small pieces', 'kosher salt', 'powdered sugar', 'red wine (such as Pinot Noir)', 'Special equipment: A 9"" springform pan']"
Dome Cake Filled with Chocolate and Nut Cream,"['cherry liqueur', 'orange liqueur', 'grappa or brandy', '10.75-ounce loaf pound cake', 'semisweet chocolate, chopped', 'chilled whipping cream', 'powdered sugar', 'blanched slivered almonds, toasted, coarsely chopped', 'hazelnuts, toasted, husked, coarsely chopped', 'Unsweetened cocoa powder']"
Double Chocolate Raspberry Cake,"['chocolate cake mix', '', 'vegetable oil', 'water', 'semisweet chocolate chips', 'Chocolate Frosting', 'raspberry jam', 'raspberries']"
Double-Ginger Sour Cream and Bundt Cake with Ginger-Infused Strawberries,"['Softened butter (for brushing pan)', 'raw sugar*', '1/4 cups all purpose flour', 'ground ginger', 'baking powder', 'salt', '(2 sticks) unsalted butter, room temperature', 'sugar', 'eggs', 'egg yolk', 'vanilla extract', 'sour cream', 'chopped crystallized ginger', '2-inch piece fresh ginger, peeled, very thinly sliced', 'water', 'sugar', 'fresh lemon juice', 'fresh strawberries, hulled, halved (about 8 cups)', 'Sliced fresh mint leaves (optional)']"
Double-Layer Vanilla-Buttermilk Cake With Raspberries and Orange Cream-Cheese Frosting,"['Nonstick vegetable oil spray', 'cake flour, divided', 'baking powder, divided', 'baking soda, divided', 'kosher salt, divided', '1/2 cups (3 sticks) unsalted butter, room temperature, divided', '1/2 cups granulated sugar, divided', 'eggs, separated', 'vanilla extract, divided', 'buttermilk, divided', 'granulated sugar', 'bean, split lengthwise', '(8-ounce) packages cream cheese, chilled', '1/4 cups (2 1/2 sticks) unsalted butter, room temperature', 'finely grated orange zest', 'fresh orange juice', 'vanilla extract', '1/2 cups powdered sugar, sifted', 'raspberries, divided', 'Edible flowers (for garnish; optional)', '(10-inch) round cake pans']"
Dried Fruit and Nut Cake,"['1/2 cups chopped toasted almonds (about 7 ounces)', 'diced candied lemon peel (about 4 ounces)', 'chopped toasted hazelnuts (about 3 1/2 ounces)', 'sifted all purpose flour', 'diced candied citron peel (about 3 ounces)', 'diced candied orange peel (about 3 ounces)', 'unsweetened cocoa powder', '1/4 teaspoons ground cinnamon', 'ground allspice', 'vanilla extract', 'honey', 'sugar', 'powdered sugar']"
Duck Egg Cake with Rosemary,"['Unsalted butter or duck fat, for greasing', 'eggs', 'sugar', 'olive oil', 'duck fat, melted', 'minced fresh rosemary', '1/2 cups cake flour', 'baking powder', 'Healthy pinch of kosher salt']"
Easy Cranberry & Apple Cake,"['fresh cranberries, rinsed and picked over for stems', 'Smith apple, peeled, cored, and medium-diced', 'light brown sugar, packed', 'grated orange zest (2 oranges)', 'freshly squeezed orange juice', '1/8 teaspoons ground cinnamon, divided', '-large eggs, at room temperature', 'plus 1 tablespoon granulated sugar', '(1 stick) unsalted butter, melted and slightly cooled', 'pure vanilla extract', 'sour cream', 'all-purpose flour', 'kosher salt']"
Fallen Chocolate Cake Squares à la Mode with Butterscotch Sauce,"['fine-quality bittersweet chocolate (not unsweetened), chopped', '(1/2 cup) unsalted butter, cut into pieces', 'sugar', 'eggs, separated', 'all-purpose flour', 'unsweetened cocoa powder', 'vanilla', 'salt', 'coffee ice cream', 'Butterscotch Sauce', 'whipped cream if desired']"
"Flourless Apple, Almond, and Ginger Cake","['Smith apples', '(1 ounce) unsalted butter', '(1 3/4 ounces/1/4 cup) caster (superfine) sugar', 'cloves', '(1/2 cup) raisins', '(9 1/4 ounces/2 1/3 cups) ground almonds', '(1 1/2 cups) whole almonds', '1/2 teaspoons ground ginger', 'baking powder', '', '(8 1/2 ounces/1 cup) raw (demerara) sugar', '(1/2 cup plus 1 tablespoon) pure maple or golden syrup (light treacle)', 'gala or golden delicious apples', '(1/3 cup) whole almonds, coarsely chopped', '(1 3/4 ounces) butter, melted', '(1/4 cup) raw (demerara) sugar']"
Flourless Cacao Fudge Cake,"['(about 14 tablespoons) unsalted butter, chopped', '(75g) raw cacao powder, plus extra for dusting', '', '1/4 cups (220g) brown sugar', '(120g) almond meal (ground almonds)']"
Flourless Chocolate Cake with Coffee Liqueur,"['semisweet chocolate, chopped', '(2 sticks) unsalted butter', 'coffee liqueur', 'vanilla extract', 'eggs, room temperature', 'sugar', 'Powdered sugar']"
Flourless Chocolate Cake with Toasted Hazelnuts and Brandied Cherries,"['750-ml bottle brandy', '1/2 cups dried tart cherries', 'water', 'sugar', 'bittersweet or semisweet chocolate, chopped', '1/4 cups (2 1/2 sticks) unsalted butter, diced', 'egg yolks', 'plus 6 tablespoons sugar', 'vanilla extract', 'salt', 'egg whites', 'bittersweet or semisweet chocolate, chopped', 'heavy whipping cream', '1/2 cups hazelnuts, toasted, coarsely chopped', 'Whipped cream']"
Flourless Chocolate-Hazelnut Cake,"['60% cacao bittersweet chocolate, chopped', '(1 1/2 sticks) unsalted butter, cut into chunks', 'eggs', '(packed) golden brown sugar', 'Frangelico or other hazelnut liqueur, divided', 'finely ground hazelnuts (ground in processor; about 5 ounces)', 'coarse kosher salt', 'chilled heavy whipping cream', 'Chopped toasted hazelnuts']"
Flourless Chocolate-Orange Almond Cake,"['Pareve kosher-for-Passover margarine, melted', '1/4 cups whole almonds (6 to 7 ounces)', 'sugar, divided', 'bittersweet (not unsweetened) or semisweet chocolate, coarsely chopped', 'unsweetened cocoa powder', 'orange juice', 'grated orange peel', 'eggs, separated', 'bean, split lengthwise', 'salt', 'Chocolate-Orange Sorbet']"
Flourless Lemon-Almond Cake,"['1/3 cups blanched slivered almonds', 'sugar', 'eggs, separated', 'packed grated lemon peel', 'ground cinnamon', 'Pinch of salt']"
Flourless Pistachio Cake with Strawberry Meringue,"['Vegetable oil, for cake pan', '1/2 cups shelled unsalted pistachios (8 ounces)', 'sugar, divided', 'eggs, at room temperature', 'vanilla extract', 'kosher salt, plus more for egg whites', 'ground cardamom', '1/3 cups freeze-dried strawberries (1.2-ounce package)', 'whites, at room temperature', 'white vinegar', 'almond flour (4 ounces)', 'superfine sugar', 'potato starch', '-inch springform pan']"
Four-Layer Pumpkin Cake with Orange-Cream Cheese Frosting,"['Nonstick vegetable oil spray', 'all purpose flour', 'baking powder', 'baking soda', 'Chinese five-spice powder*', 'fine sea salt', '(2 sticks) unsalted butter, room temperature', '(packed) golden brown sugar', 'eggs, room temperature', '15-ounce can pure pumpkin', 'whole milk', '(2 sticks) unsalted butter, room temperature', '8-ounce packages cream cheese, room temperature', 'finely grated orange peel', 'powdered sugar, sifted', 'Chopped walnuts or walnut halves, toasted']"
Free-Form Beesting Cake,"['warm milk (105°-115°F.)', 'a 1/4-ounce package active dry yeast (2 1/2 teaspoons)', 'sugar', 'salt', 'egg yolk', 'about 2 3/4 cups all-purpose flour', '(1/2 cup) unsalted butter, cut into 8 pieces and softened', '(1/4 cup) unsalted butter', 'sugar', 'milk', 'cinnamon', 'salt', 'sliced almonds', 'Accompaniment: honey porter prune ice cream', ""we used the soft, chocolaty honey porter made by Samuel Adams (available nationwide); but regional porters on the order of Vermont's Catamount or Oregon's Deschutes Black Butte exhibit the same qualities. Whatever you choose, avoid bitter, hoppy porters such as Sierra Nevada."", 'pitted prunes, chopped', 'porter such as Samuel Adams Honey Porter', 'honey', 'cornstarch', 'egg yolks', 'milk', 'sugar', 'vanilla', 'well-chilled heavy cream']"
French Apple Cake,"['(1/2 stick) unsalted butter', '3/4 cups sugar', 'water', 'ground cinnamon', 'Granny Smith apples (about 1 1/4 pounds), peeled, cored, thinly\xa0sliced', 'all purpose flour', 'baking powder', 'salt', 'egg yolks', 'eggs', 'Calvados, applejack or other brandy', 'vanilla', '(1 stick) unsalted butter, melted']"
Fresh Apricot Upside-Down Cake,"['(1/2 cup) unsalted butter', 'packed light brown sugar', '11 small (2- to 2 1/4-inch) fresh apricots (1 1/4 lb), halved lengthwise and pitted', '3/4 cups all-purpose flour', '1/2 teaspoons baking powder', 'baking soda', 'salt', '(1/2 cup) unsalted butter, softened', 'granulated sugar', '1/2 teaspoons vanilla extract', 'almond extract', 'eggs at room temperature for 30 minutes', 'well-shaken buttermilk', 'Special equipment: a 10-inchwell-seasoned cast-iron or heavy nonstick skillet (at least 2 inches deep)']"
Fresh Banana Layer Cake,"['1/4 cups sifted cake flour (not self-rising; sift before measuring)', 'baking soda', 'baking powder', 'salt', 'mashed very ripe banana (about 2 large)', 'plain yogurt or well-shaken buttermilk', 'vanilla', '(1/2 cup) unsalted butter, softened', 'granulated sugar', 'eggs', ""confectioners' sugar (about 3 3/4 cups)"", 'cream cheese, softened', '(1/2 cup) unsalted butter, softened', 'vanilla', '3 large firm-ripe bananas']"
Fresh Pineapple Upside-Down Cake,"['2/3 cups all-purpose flour', '1/2 teaspoons baking powder', 'baking soda', 'salt', 'pineapple, halved lengthwise, cored, and peeled', '1/2 sticks (3/4 cup) unsalted butter, softened', 'packed light brown sugar', 'granulated sugar', 'pure vanilla extract', 'eggs', 'well-shaken buttermilk']"
Frozen Almond-Raspberry Cake,"['graham cracker crumbs', 'finely chopped almonds', '1/2 tablespoons vegetable oil', 'sugar', 'Pinch of salt', 'vanilla almond crunch or vanilla frozen yogurt', 'raspberry sorbet', '1/2-pint basket raspberries']"
"Frozen ""Creamsicle"" Cake","['-fat vanilla wafers, finely ground in a food processor', 'finely grated fresh orange zest', 'unsalted butter, melted and cooled', 'light corn syrup', 'orange sorbet, slightly softened', 'nonfat vanilla frozen yogurt', 'Garnish: finely julienned fresh orange zest', 'a 3 1/2- by 7 1/2-inch (3 1/2-cup) loaf pan']"
Frozen Lemon Cream Meringue Cake,"['egg whites at room temperature', 'sugar', '(1/2 cup) unsalted butter', 'sugar', 'cornstarch', 'fresh lemon juice (about 2 lemons)', 'freshly grated lemon zest', 'large egg plus 6 large egg yolks', 'plain yogurt', '1/2 teaspoons unflavored gelatin', 'orange-flavored liqueur', '1/2 cups heavy cream', 'lemon slices and unsprayed lemon leaves for garnish']"
Frozen Passion Fruit Meringue Cake,"['egg whites at room temperature for 30 minutes', 'sugar', '(1/2 cup) unsalted butter, cut into pieces', 'cornstarch', 'thawed frozen passion-fruit pulp*', 'plus 2 tablespoons sugar', 'large egg', 'egg yolks', '1/2 cups chilled heavy cream', 'Special equipment: a 15- by 12-inch sheet of parchment paper; a pastry bag with a 1/3-inch plain tip and an 1/8-inch plain tip; a long thin platter or a foil-wrapped cardboard rectangle (at least 15 by 4 inches)']"
Frozen Strawberry-Banana Cake with Strawberry Sauce,"['12-ounce pound cake', 'strawberry preserves', 'strawberry liqueur or orange juice', 'strawberry sorbet, softened', 'banana-strawberry frozen yogurt, softened', '10-ounce package frozen sliced strawberries in syrup, thawed', 'ripe bananas, peeled, cut diagonally into 1/4-inch-thick slices', 'Sliced fresh strawberries']"
